X;Y;ID;NOMBRE;CALLE1;CALLE2;INTERSEC;INAUGURA;LIN_SENT_N;LIN_SENT_S;METROBUS
-58.4757836184498;-34.5388316734613;124;GRAL PAZ;CABILDO AV;PAZ GRAL AV;DEBAJO DE LA AV GRAL PAZ;SI;19 - 71 - 161 - 130 - 152 - 184;;METROBUS NORTE - AV CABILDO
-58.4759126483894;-34.5388881827821;125;GRAL PAZ;CABILDO AV;PAZ GRAL AV;DEBAJO DE LA AV GRAL PAZ;SI;;59 - 60 - 68 - 133 - 152 - 161 - 168 - 184;METROBUS NORTE - AV CABILDO
-58.4756242279088;-34.5387563261492;126;GRAL PAZ;CABILDO AV;PAZ GRAL AV;DEBAJO DE LA AV GRAL PAZ;SI;21 - 59 - 60 - 68 - 133 - 151 - 168;;METROBUS NORTE - AV CABILDO
-58.4760796299295;-34.5389698092415;127;GRAL PAZ;CABILDO AV;PAZ GRAL AV;DEBAJO DE LA AV GRAL PAZ;SI;;19 - 71 - 130 - 151;METROBUS NORTE - AV CABILDO
-58.4772934124832;-34.5359048553101;128;LAPRIDA;MAIPU AV;;ENTRE ARISTOBULO DEL VALLE Y FRANCISCO NARCISO DE LAPRIDA;SI;19 - 59 - 60 -71 - 130 - 152;;METROBUS NORTE - AV MAIPU (PROVINCIA)
-58.4777865363728;-34.5349376198707;129;ALSINA;MAIPU AV;;ENTRE NARCISO DE LAPRIDA Y ADOLFO ALSINA;SI;21 - 161 - 168 - 184 - 203 - 314 - 365;;METROBUS NORTE - AV MAIPU (PROVINCIA)
-58.4783707266325;-34.534020613533;130;ALVAREZ;MAIPU AV;;ENTRE ADOLFO ALSINA Y AGUSTIN ALVAREZ;SI;;19 - 59 - 71 -152 - 161;METROBUS NORTE - AV MAIPU (PROVINCIA)
-58.4788562477194;-34.5331036173575;131;LAVALLE;MAIPU AV;;ENTRE AGUSTIN ALVAREZ Y GRAL LAVALLE;SI;;60 - 130 - 168 - 203 - 314 - 365;METROBUS NORTE - AV MAIPU (PROVINCIA)
-58.4791899696606;-34.532130116431;132;LAS HERAS;MAIPU AV;;ENTRE GRAL LAVALLE Y LAS HERAS;SI;19 - 59 - 60 - 71 - 130 - 152 - 168;;METROBUS NORTE - AV MAIPU (PROVINCIA)
-58.4796906368785;-34.5311565913277;133;GUEMES;MAIPU AV;;ENTRE LAS HERAS Y GUEMES;SI;21 - 161 - 184 - 203 - 314 - 365;;METROBUS NORTE - AV MAIPU (PROVINCIA)
-58.4803278861515;-34.5301704836501;134;MELO;MAIPU AV;;ENTRE GUEMES Y MELO;SI;;19 - 59- 71 -152;METROBUS NORTE - AV MAIPU (PROVINCIA)
-58.480798202552;-34.5293288457776;135;HAEDO;MAIPU AV;;ENTRE MELO Y HAEDO;SI;;60 - 130 - 168 - 203 - 314 - 365;METROBUS NORTE - AV MAIPU (PROVINCIA)
-58.4813063795186;-34.5281606210937;136;SANTA ROSA;MAIPU AV;;ENTRE MARTIN J. HAEDO Y SANTA ROSA;SI;19 - 59 - 71 - 152;;METROBUS NORTE - AV MAIPU (PROVINCIA)
-58.481738741227;-34.5273566673145;137;ROCA;MAIPU AV;;ENTRE SANTA ROSA Y ROCA;SI;60 - 130 - 168 - 203 - 314 -365;;METROBUS NORTE - AV MAIPU (PROVINCIA)
-58.4823911333257;-34.5264521907117;138;URQUIZA;MAIPU AV;;ENTRE ROCA Y URQUIZA;SI;;19 - 59 - 71 - 152;METROBUS NORTE - AV MAIPU (PROVINCIA)
-58.482922086928;-34.5254974876937;139;VERGARA;MAIPU AV;;ENTRE URQUIZA Y VERGARA;SI;;60 - 130 - 168 - 203 - 314 - 365;METROBUS NORTE - AV MAIPU (PROVINCIA)
-58.4833695259172;-34.5244109085759;140;SAN MARTIN;MAIPU AV;;ENTRE VERGARA Y GRAL SAN MARTIN;SI;19 - 60 - 71 - 130 - 168;;METROBUS NORTE - AV MAIPU (PROVINCIA)
-58.483892867336;-34.523456202311;141;ARENALES;MAIPU AV;;ENTRE GRAL SAN MARTIN Y ARENALES;SI;59 - 152;;METROBUS NORTE - AV MAIPU (PROVINCIA)
-58.4843858562534;-34.5225454616651;142;LIBERTAD;MAIPU AV;;ENTRE ARENALES Y LIBERTAD;SI;203 - 314 - 365;;METROBUS NORTE - AV MAIPU (PROVINCIA)
-58.4850457433214;-34.5215404828578;143;YRIGOYEN;MAIPU AV;;ENTRE LIBERTAD E HIPOLITO YRIGOYEN;SI;;19 - 59 - 71 - 152;METROBUS NORTE - AV MAIPU (PROVINCIA)
-58.4856676255012;-34.5203533765765;144;ITALIA;MAIPU AV;;ENTRE HIPOLITO YRIGOYEN E ITALIA;SI;;21 - 60 - 203 - 314 - 365;METROBUS NORTE - AV MAIPU (PROVINCIA)
-58.4862439232863;-34.5190218270208;145;MALAVER;MAIPU AV;;ENTRE ITALIA Y ANTONIO MALAVER;SI;19 - 21 - 59 - 60 - 71 - 152 - 203 - 314 - 365;;METROBUS NORTE - AV MAIPU (PROVINCIA)
-58.4697346547065;-34.5470451950359;146;PAROISSIEN;CABILDO AV;;ENTRE AV GARCIA DEL RIO Y PAROISSIEN;SI;;152 - 161 - 168 - 184 -194;METROBUS NORTE - AV CABILDO
-58.4593144621467;-34.6042763149154;147;PAPPO NAPOLITANO;AV SAN MARTIN;;ENTRE JUAN B. JUSTO Y FRAGATA SARMIENTO;SI;;SENTIDO ESTE: 24 - 57 - 105 - 135 - 146;METROBUS AV SAN MARTIN
-58.4652151930452;-34.6027749295805;148;DONATO ALVAREZ;AV SAN MARTIN;;ENTRE JUAN A. GARCIA Y ADOLFO DICKMAN;SI;SENTIDO OESTE: 24 - 57 - 105 - 109 - 135 - 146;SENTIDO ESTE: 24 - 57 - 105 - 109 - 135 - 146;METROBUS AV SAN MARTIN
-58.4701196552181;-34.6015854135541;149;ARGENTINOS JUNIORS;AV SAN MARTIN;;ENTRE ALVAREZ JONTE Y MIGUEL ANGEL;SI;SENTIDO OESTE: 24 - 57 - 105 - 146;SENTIDO ESTE: 24 - 57 - 105 - 146;METROBUS AV SAN MARTIN
-58.480939832333;-34.5987624272878;150;EMPEDRADO;AV SAN MARTIN;;ENTRE BASILIO CITTADINI Y GRAL RIVAS;SI;SENTIDO OESTE: 47 - 57 - 78 - 105 - 146;SENTIDO ESTE: 47 - 57 - 78 - 105 - 146;METROBUS AV SAN MARTIN
-58.4835262391179;-34.5977518973572;151;AGRONOMIA;AV SAN MARTIN;;ENTRE GRAL RIVAS Y MELINCUE;SI;SENTIDO OESTE: 57 - 78 - 105 - 146;SENTIDO ESTE: 57 - 78 - 105 - 146;METROBUS AV SAN MARTIN
-58.4868926516254;-34.5974813679951;152;2 DE ABRIL;AV SAN MARTIN;;ENTRE MELINCUE Y EST. PLURINACIONAL DE BOLIVIA;SI;SENTIDO OESTE: 57 - 78 - 105 - 146;SENTIDO ESTE: 57 - 78 - 105 - 146;METROBUS AV SAN MARTIN
-58.4914967529747;-34.5971621586626;153;COMUNICACIONES;AV SAN MARTIN;;ENTRE TINOGASTA Y NAZCA;SI;SENTIDO OESTE: 57 - 78 - 105 - 146;SENTIDO ESTE: 57 - 78 - 105 - 146;METROBUS AV SAN MARTIN
-58.4951986182815;-34.5969158222641;154;ROFFO;AV SAN MARTIN;;ENTRE NAZCA Y BEIRO;SI;SENTIDO OESTE: 57 - 78 - 105 - 146;SENTIDO ESTE: 57 - 78 - 105 - 146;METROBUS AV SAN MARTIN
-58.4993825715727;-34.5959967210567;155;SOLANO LOPEZ;AV SAN MARTIN;;ENTRE NAVARRO Y PEDRO MORAN;SI;SENTIDO OESTE: 57 - 78;SENTIDO ESTE: 57 - 78 - 105;METROBUS AV SAN MARTIN
-58.5075029500653;-34.5929778140264;156;CUBAS;AV SAN MARTIN;;ENTRE HABANA Y VALLEJOS;SI;SENTIDO OESTE: 57 - 78 - 123 - 176;SENTIDO ESTE: 57 - 78;METROBUS AV SAN MARTIN
-58.5111921840826;-34.5916313705306;157;MOSCONI;AV SAN MARTIN;;ENTRE GABRIELA MISTRAL Y CARLOS ANTONIO LOPEZ;SI;SENTIDO OESTE: 57 - 78 - 87 - 123 - 176;SENTIDO ESTE: 57 - 78 - 123 - 176;METROBUS AV SAN MARTIN
-58.5151947684576;-34.5904202833159;158;LADINES;AV SAN MARTIN;;ENTRE GRIVEO Y CABEZON JOSE LEON;SI;SENTIDO OESTE: 57 - 78 - 87 - 123 - 176;SENTIDO ESTE: 57 - 78 - 87 - 123 - 176;METROBUS AV SAN MARTIN
-58.4602931418152;-34.5579724492171;159;MONROE;CABILDO AV;;ENTRE AV MONROE Y ROOSEVELT;SI;;29 - 41 - 59 - 60 - 152 - 161;METROBUS NORTE - AV CABILDO
-58.4597690625198;-34.5585471609047;160;BLANCO ENCALADA;CABILDO AV;;ENTRE BLANCO ENCALADA Y AV MONROE;SI;;68 - 168 - 184;METROBUS NORTE - AV CABILDO
-58.4592693598874;-34.5589101308963;161;BLANCO ENCALADA;CABILDO AV;;ENTRE BLANCO ENCALADA Y AV MONROE;SI;161 - 168 - 184;;METROBUS NORTE - AV CABILDO
-58.4586233818998;-34.5596764084309;162;OLAZABAL;CABILDO AV;;ENTRE OLAZABAL Y BLANCO ENCALADA;SI;29 - 41 - 59 - 60 - 68 - 152;;METROBUS NORTE - AV CABILDO
